,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
SAVA - Sacramento Academic and Vocational Academy - EGUSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florin High,4553.0,Florin High School,public,9-12,1494.0,3.0,4.0,Sacramento,CA,542.0,Elk Grove Unified School District,612330.0,"7956 Cottonwood Lane, 
Sacramento, CA  95828",(916) 689-8600,(916) 689-7430,https://florinhs.schoolloop.com/,61233009534.0,38.468059999999994,-121.39031000000001,https://www.greatschools.org/california/sacramento/4553-Florin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4553-Florin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4553-Florin-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4553-Florin-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,3.0,,4.0,,18,332,91,99,10007,4,4,3,43,320,44,298,20,326,20,304,45,45,90,90,92
Laguna Creek High,4561.0,Laguna Creek High School,public,9-12,1797.0,5.0,4.0,Elk Grove,CA,542.0,Elk Grove Unified School District,612330.0,"9050 Vicino Drive, 
Elk Grove, CA  95758",(916) 683-1339,(916) 683-3128,http://www.egusd.k12.ca.us/lagunacreek/,61233003662.0,38.428684000000004,-121.42714,https://www.greatschools.org/california/elk-grove/4561-Laguna-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4561-Laguna-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4561-Laguna-Creek-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/elk-grove/4561-Laguna-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,3.0,,19,400,86,94,7521,5,3,7,49,402,37,178,29,404,14,180,52,44,95,94,49
Sheldon High,4573.0,Sheldon High School,public,9-12,2322.0,6.0,4.0,Sacramento,CA,542.0,Elk Grove Unified School District,612330.0,"8333 Kingsbridge Drive, 
Sacramento, CA  95829",(916) 681-7500,(916) 681-7505,http://www.shs-egusd-ca.schoolloop.com/,61233007226.0,38.4554,-121.34863,https://www.greatschools.org/california/sacramento/4573-Sheldon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4573-Sheldon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4573-Sheldon-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4573-Sheldon-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,4.0,,20,375,93,100,5424,5,4,7,48,577,41,363,27,585,22,374,46,42,96,95,58
Franklin High,12446.0,Franklin High School,public,9-12,2673.0,9.0,4.0,Elk Grove,CA,542.0,Elk Grove Unified School District,612330.0,"6400 Whitelock Parkway, 
Elk Grove, CA  95757",(916) 714-8150,(916) 714-8155,http://www.fhs.schoolloop.com/,61233010593.0,38.393817999999996,-121.42881000000001,https://www.greatschools.org/california/elk-grove/12446-Franklin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/12446-Franklin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/12446-Franklin-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/elk-grove/12446-Franklin-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,5.0,,6.0,,22,409,94,98,5424,8,6,9,65,569,52,218,47,571,34,221,72,61,98,97,37
Elk Grove High,4549.0,Elk Grove High School,public,9-12,1743.0,8.0,4.0,Elk Grove,CA,542.0,Elk Grove Unified School District,612330.0,"9800 Elk Grove-Florin Road, 
Elk Grove, CA  95624",(916) 686-7741,(916) 685-5515,,61233001398.0,38.401688,-121.37151000000001,https://www.greatschools.org/california/elk-grove/4549-Elk-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4549-Elk-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4549-Elk-Grove-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/elk-grove/4549-Elk-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,6.0,,4.0,,5.0,,20,380,96,98,9692,6,5,7,55,411,49,157,35,409,31,156,63,51,96,94,37
Elk Grove Charter,4551.0,Elk Grove Charter School,charter,7-12,246.0,3.0,3.0,Elk Grove,CA,542.0,Elk Grove Unified School District,612330.0,"10065 Atkins Drive, 
Elk Grove, CA  95757",(916) 714-1653,(916) 714-1721,http://egcharter.com,61233008275.0,38.39135,-121.43717,https://www.greatschools.org/california/elk-grove/4551-Elk-Grove-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4551-Elk-Grove-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/elk-grove/4551-Elk-Grove-Charter-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/elk-grove/4551-Elk-Grove-Charter-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,2.0,,2.0,,17,245,95,100,,4,2,,40,82,32,56,11,83,7,56,6,4,72,65,38
Cordova High,4583.0,Cordova High School,public,9-12,1692.0,5.0,4.0,Rancho Cordova,CA,544.0,Folsom-Cordova Unified School District,613890.0,"2239 Chase Drive, 
Rancho Cordova, CA  95670",(916) 294-2450,(916) 362-1447,www.fcusd.org,61389001568.0,38.599655,-121.30918999999999,https://www.greatschools.org/california/rancho-cordova/4583-Cordova-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cordova/4583-Cordova-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cordova/4583-Cordova-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rancho-cordova/4583-Cordova-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,4.0,,2.0,,3.0,,25,388,92,100,86722,4,3,6,44,348,37,254,19,346,16,252,38,35,94,94,69
Folsom High,4590.0,Folsom High School,public,9-12,2300.0,10.0,4.0,Folsom,CA,544.0,Folsom-Cordova Unified School District,613890.0,"1655 Iron Point Road, 
Folsom, CA  95630",(916) 294-2400,(916) 355-1110,www.fcusd.org,61389001570.0,38.64949,-121.15518,https://www.greatschools.org/california/folsom/4590-Folsom-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/folsom/4590-Folsom-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/folsom/4590-Folsom-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/folsom/4590-Folsom-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,9.0,,9.0,,31,575,96,100,91684,10,9,10,83,522,71,89,66,520,49,89,64,49,98,98,14
Liberty Ranch High,25011.0,Liberty Ranch High School,public,9-12,1176.0,7.0,,Galt,CA,545.0,Galt Joint Union High School District,614820.0,"12945 Marengo Road, 
Galt, CA  95632",(209) 744-4250,(209) 745-2601,www.ghsd.k12.ca.us,61482012403.0,38.28653,-121.27886000000001,https://www.greatschools.org/california/galt/25011-Liberty-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/galt/25011-Liberty-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/galt/25011-Liberty-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/galt/25011-Liberty-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,4.0,,4.0,,21,589,93,100,80934,7,4,8,57,303,44,143,38,303,24,144,38,29,93,91,48
Galt High,4606.0,Galt High School,public,9-12,924.0,5.0,3.0,Galt,CA,545.0,Galt Joint Union High School District,614820.0,"145 North Lincoln Way, 
Galt, CA  95632",(209) 745-3081,(209) 745-3696,www.ghsd.k12.ca.us,61482001821.0,38.255882,-121.30027,https://www.greatschools.org/california/galt/4606-Galt-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/galt/4606-Galt-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/galt/4606-Galt-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/galt/4606-Galt-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,3.0,,3.0,,3.0,,19,463,78,100,77091,3,3,5,35,218,31,155,19,220,15,157,22,20,92,92,72
Rio Vista High,4664.0,Rio Vista High School,public,9-12,381.0,5.0,3.0,Rio Vista,CA,551.0,River Delta Joint Unified School District,633110.0,"410 South Fourth Street, 
Rio Vista, CA  94571",(707) 374-6336,(707) 374-6810,http://rvhs-rdusd-ca.schoolloop.com/,63311005125.0,38.154175,-121.69658999999999,https://www.greatschools.org/california/rio-vista/4664-Rio-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rio-vista/4664-Rio-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rio-vista/4664-Rio-Vista-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rio-vista/4664-Rio-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,4.0,,2.0,,2.0,,19,379,85,100,55987,4,2,5,43,92,35,49,17,92,12,49,39,33,96,95,45
Delta High,4661.0,Delta High School,public,10-12,213.0,6.0,3.0,Clarksburg,CA,551.0,River Delta Joint Unified School District,633110.0,"52810 Netherlands Avenue, 
Clarksburg, CA  95612",(916) 744-1714,(916) 744-1673,http://dhs-rdusd-ca.schoolloop.com/,63311005123.0,38.416492,-121.5282,https://www.greatschools.org/california/clarksburg/4661-Delta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/clarksburg/4661-Delta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/clarksburg/4661-Delta-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/clarksburg/4661-Delta-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,6.0,,6.0,,19,201,77,100,56195,6,6,6,60,48,63,27,23,48,19,27,34,24,92,93,51
New Technology High,12325.0,New Technology High School,charter,9-12,200.0,4.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"1400 Dickson Street, 
Sacramento, CA  95822",(916) 395-5254,(916) 433-2840,http://www.sacnewtech.org/,63384011196.0,38.51855,-121.50396,https://www.greatschools.org/california/sacramento/12325-New-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12325-New-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12325-New-Technology-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12325-New-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,3.0,,2.0,,2.0,,15,300,94,94,59676,3,2,4,40,42,32,25,12,41,12,25,67,73,96,94,72
George Washington Carver School of Arts and Science,12328.0,George Washington Carver School Of Arts And Science,charter,9-12,315.0,5.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"10101 Systems Parkway, 
Sacramento, CA  95827",(916) 288-5751,(916) 228-5760,www.carverartsandscience.org,63384011195.0,38.56409,-121.3179,https://www.greatschools.org/california/sacramento/12328-George-Washington-Carver-School-Of-Arts-And-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12328-George-Washington-Carver-School-Of-Arts-And-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12328-George-Washington-Carver-School-Of-Arts-And-Science/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12328-George-Washington-Carver-School-Of-Arts-And-Science/?utm_source=GSAPI&utm_medium=referral,7.0,4.0,,3.0,,3.0,,18,,94,89,53800,4,3,5,48,54,45,31,17,53,10,31,44,44,97,97,50
The MET,12343.0,The Met School,charter,9-12,303.0,4.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"810 V Street, 
Sacramento, CA  95818",(916) 395-5417,(916) 264-4701,http://www.scusd.edu,63384011194.0,38.567383,-121.50133000000001,https://www.greatschools.org/california/sacramento/12343-The-Met-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12343-The-Met-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12343-The-Met-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12343-The-Met-School/?utm_source=GSAPI&utm_medium=referral,5.0,3.0,,3.0,,3.0,,16,763,89,95,48696,3,3,4,49,67,50,36,12,65,6,34,46,43,86,80,53
Rosemont High,12349.0,Rosemont High School,public,9-12,1355.0,4.0,3.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"9594 Kiefer Boulevard, 
Sacramento, CA  95827",(916) 395-5130,(916) 228-5733,http://rosemont.scusd.edu/,63384011191.0,38.544666,-121.33965,https://www.greatschools.org/california/sacramento/12349-Rosemont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12349-Rosemont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12349-Rosemont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12349-Rosemont-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,5.0,,3.0,,4.0,,22,339,87,97,52884,5,4,7,48,311,44,227,26,307,22,225,47,48,90,88,75
Sacramento Charter High,12574.0,Sacramento Charter High School,charter,9-12,952.0,4.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"2315 34th Street, 
Sacramento, CA  95820",(916) 277-6200,(916) 277-6370,www.sachigh.org,63384011190.0,38.55611,-121.46615,https://www.greatschools.org/california/sacramento/12574-Sacramento-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12574-Sacramento-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12574-Sacramento-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12574-Sacramento-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,2.0,,3.0,,2.0,,21,309,60,100,49923,2,2,3,37,165,35,124,10,164,10,124,98,98,95,95,72
Arthur A. Benjamin Health Professions High,14315.0,Arthur A. Benjamin Health Professions High School,public,9-12,214.0,3.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"451 Mcclatchy Way, 
Sacramento, CA  95818",(916) 395-5010,(916) 264-3245,http://www.hphsjaguars.com,63384011078.0,38.561316999999995,-121.51146999999999,https://www.greatschools.org/california/sacramento/14315-Arthur-A.-Benjamin-Health-Professions-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/14315-Arthur-A.-Benjamin-Health-Professions-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/14315-Arthur-A.-Benjamin-Health-Professions-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/14315-Arthur-A.-Benjamin-Health-Professions-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,3.0,,3.0,,3.0,,12,213,94,100,50563,3,3,3,32,41,29,34,,,,,40,39,85,84,80
SAVA - Sacramento Academic and Vocational Academy - SCUSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Campus,12195.0,West Campus,public,9-12,852.0,10.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"5022 58th Street, 
Sacramento, CA  95820",(916) 277-6400,(916) 277-6593,http://westcampus.server309.com/,63384010600.0,38.529346000000004,-121.43879,https://www.greatschools.org/california/sacramento/12195-West-Campus/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12195-West-Campus/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/12195-West-Campus/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/12195-West-Campus/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,10.0,,25,428,88,100,69320,10,10,10,96,198,97,125,70,198,71,125,82,78,100,100,63
Luther Burbank High,4684.0,Luther Burbank High School,public,9-12,1712.0,3.0,3.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"3500 Florin Road, 
Sacramento, CA  95823",(916) 433-5100,(916) 433-5199,http://lutherburbank.scusd.edu/,63384005264.0,38.495827,-121.46753999999999,https://www.greatschools.org/california/sacramento/4684-Luther-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4684-Luther-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4684-Luther-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4684-Luther-Burbank-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,17,343,92,98,49073,3,3,3,35,383,34,314,15,384,15,316,46,47,84,86,80
Hiram W. Johnson High,4711.0,Hiram W. Johnson High School,public,9-12,1543.0,1.0,4.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"6879 14th Avenue, 
Sacramento, CA  95820",(916) 395-5070,(916) 277-6835,http://www.hiramjohnson.net/,63384005247.0,38.53967,-121.42392,https://www.greatschools.org/california/sacramento/4711-Hiram-W.-Johnson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4711-Hiram-W.-Johnson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4711-Hiram-W.-Johnson-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4711-Hiram-W.-Johnson-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,19,308,78,98,46460,2,2,2,30,300,29,236,9,297,11,235,29,30,75,75,88
C. K. McClatchy High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Carson International Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesa Verde High,4792.0,Mesa Verde High School,public,9-12,939.0,3.0,4.0,Citrus Heights,CA,554.0,San Juan Unified School District,634620.0,"7501 Carriage Drive, 
Citrus Heights, CA  95621",(916) 971-5288,(916) 971-5215,http://www.sanjuan.edu/MesaVerde,63462005798.0,38.7018,-121.29496999999999,https://www.greatschools.org/california/citrus-heights/4792-Mesa-Verde-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/citrus-heights/4792-Mesa-Verde-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/citrus-heights/4792-Mesa-Verde-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/citrus-heights/4792-Mesa-Verde-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,2.0,,2.0,,2.0,,20,314,94,98,75794,2,2,3,36,200,35,120,11,199,7,118,32,32,91,90,65
Bella Vista High,4751.0,Bella Vista High School,public,9-12,2065.0,9.0,4.0,Fair Oaks,CA,554.0,San Juan Unified School District,634620.0,"8301 Madison Avenue, 
Fair Oaks, CA  95628",(916) 971-5052,(916) 971-5011,http://www.sanjuan.edu/schools/bellavista,63462005756.0,38.664314000000005,-121.25063999999999,https://www.greatschools.org/california/fair-oaks/4751-Bella-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fair-oaks/4751-Bella-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fair-oaks/4751-Bella-Vista-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fair-oaks/4751-Bella-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,5.0,,6.0,,25,517,99,100,76514,8,6,9,65,458,51,115,47,457,33,116,58,41,98,95,24
Options for Youth-San Juan,11820.0,Options for Youth-San Juan School,charter,7-12,926.0,1.0,5.0,Carmichael,CA,554.0,San Juan Unified School District,634620.0,"5825 Windmill Way, 
Carmichael, CA  95608",(626) 921-8200,(916) 485-5484,www.ofy.org,63462008578.0,38.64826,-121.32883000000001,https://www.greatschools.org/california/carmichael/11820-Options-For-Youth-San-Juan-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carmichael/11820-Options-For-Youth-San-Juan-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carmichael/11820-Options-For-Youth-San-Juan-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carmichael/11820-Options-For-Youth-San-Juan-School/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,1.0,,1.0,,23,506,77,100,95410,1,1,,33,223,24,267,5,224,3,267,28,29,21,19,73
Casa Roble Fundamental High,4757.0,Casa Roble Fundamental High School,public,9-12,1262.0,6.0,4.0,Orangevale,CA,554.0,San Juan Unified School District,634620.0,"9151 Oak Avenue, 
Orangevale, CA  95662",(916) 971-5452,(916) 971-5495,,63462005761.0,38.700233000000004,-121.21321,https://www.greatschools.org/california/orangevale/4757-Casa-Roble-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orangevale/4757-Casa-Roble-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orangevale/4757-Casa-Roble-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orangevale/4757-Casa-Roble-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,4.0,,22,422,97,100,77099,5,4,5,45,238,41,74,28,237,27,74,43,28,96,93,31
Del Campo High,4766.0,Del Campo High School,public,9-12,1777.0,5.0,4.0,Fair Oaks,CA,554.0,San Juan Unified School District,634620.0,"4925 Dewey Drive, 
Fair Oaks, CA  95628",(916) 971-5664,(916) 971-5663,,63462005769.0,38.65514,-121.30835,https://www.greatschools.org/california/fair-oaks/4766-Del-Campo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fair-oaks/4766-Del-Campo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fair-oaks/4766-Del-Campo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fair-oaks/4766-Del-Campo-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,3.0,,3.0,,22,446,95,100,74444,5,3,6,49,363,41,160,24,362,14,159,37,29,97,96,44
El Camino Fundamental High,4773.0,El Camino Fundamental High School,public,9-12,1531.0,8.0,4.0,Sacramento,CA,554.0,San Juan Unified School District,634620.0,"4300 El Camino Avenue, 
Sacramento, CA  95821",(916) 971-7430,(916) 971-7429,,63462005776.0,38.61014,-121.36431,https://www.greatschools.org/california/sacramento/4773-El-Camino-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4773-El-Camino-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4773-El-Camino-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4773-El-Camino-Fundamental-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,3.0,,4.0,,24,437,95,100,73558,7,4,9,57,323,34,131,40,322,23,131,53,37,98,97,45
Mira Loma High,4793.0,Mira Loma High School,public,9-12,1595.0,7.0,4.0,Sacramento,CA,554.0,San Juan Unified School District,634620.0,"4000 Edison Avenue, 
Sacramento, CA  95821",(916) 971-7465,(916) 971-7483,http://www.sanjuan.edu/MiraLoma.cfm,63462005799.0,38.634240000000005,-121.37088999999999,https://www.greatschools.org/california/sacramento/4793-Mira-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4793-Mira-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4793-Mira-Loma-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4793-Mira-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,3.0,,4.0,,24,481,96,99,74687,8,4,10,63,406,42,192,47,415,23,198,54,32,92,87,46
Rio Americano High,4806.0,Rio Americano High School,public,9-12,1598.0,8.0,4.0,Sacramento,CA,554.0,San Juan Unified School District,634620.0,"4540 American River Drive, 
Sacramento, CA  95864",(916) 971-7494,(916) 971-7513,http://www.sanjuan.edu/RioAmericano,63462005812.0,38.579338,-121.35638999999999,https://www.greatschools.org/california/sacramento/4806-Rio-Americano-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4806-Rio-Americano-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4806-Rio-Americano-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4806-Rio-Americano-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,5.0,,5.0,,25,458,97,98,76923,8,5,9,64,371,44,68,49,370,32,71,52,28,96,93,21
San Juan High,32653.0,Rancho San Juan High,public,9-12,,,,Salinas,CA,398.0,Salinas Union High School District,633980.0,"1100 Rogge Road, 
Salinas, CA  93906",(831) 796-7000,,www.salinasuhsd.org/domain/21,,36.72844,-121.62917,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
