,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Carmel High,3237,Carmel High School,public,9-12,857,10,4,Carmel,CA,377,Carmel Unified School District,0607530,"3600 Ocean Avenue, 
Carmel, CA  93923",(831) 624-1821,(831) 626-4313,http://www.carmelhigh.org,060753000718,36.55442,-121.9094,https://www.greatschools.org/california/carmel/3237-Carmel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carmel/3237-Carmel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carmel/3237-Carmel-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carmel/3237-Carmel-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Pinnacle Academy Charter - Independent Study,32465,Pinnacle Academy Charter - Independent Study,charter,9-12,,,,King City,CA,383,South Monterey County Joint Union High School District,0619650,"760 Broadway Street, 
King City, CA  93930",(831) 385-4661,,www.smcjuhsd.org,061965014041,36.208935,-121.13286,https://www.greatschools.org/california/king-city/32465-Pinnacle-Academy-Charter---Independent-Study/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/king-city/32465-Pinnacle-Academy-Charter---Independent-Study/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/king-city/32465-Pinnacle-Academy-Charter---Independent-Study/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/king-city/32465-Pinnacle-Academy-Charter---Independent-Study/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Greenfield High,3253,Greenfield High School,public,9-12,1053,3,4,Greenfield,CA,383,South Monterey County Joint Union High School District,0619650,"225 South El Camino Real, 
Greenfield, CA  93927",(831) 674-2751,(831) 674-2646,http://greenfieldhs.org,061965008221,36.312756,-121.24056,https://www.greatschools.org/california/greenfield/3253-Greenfield-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/greenfield/3253-Greenfield-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/greenfield/3253-Greenfield-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/greenfield/3253-Greenfield-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
King City High,3254,King City High School,public,9-12,1018,5,3,King City,CA,383,South Monterey County Joint Union High School District,0619650,"720 Broadway Street, 
King City, CA  93930",(831) 385-5461,(831) 385-0901,,061965002360,36.209373,-121.13227,https://www.greatschools.org/california/king-city/3254-King-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/king-city/3254-King-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/king-city/3254-King-City-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/king-city/3254-King-City-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Marina High,3806,Marina High School,public,9-12,2408,9,4,Huntington Beach,CA,476,Huntington Beach Union High School District,0618060,"15871 Springdale Street, 
Huntington Beach, CA  92649",(714) 893-6571,(714) 892-7855,www.marinavikings.org,061806002232,33.730843,-118.0241,https://www.greatschools.org/california/huntington-beach/3806-Marina-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3806-Marina-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3806-Marina-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-beach/3806-Marina-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Learning for Life Charter,11768,Learning For Life Charter School,charter,7-12,114,,4,Marina,CA,387,Monterey Peninsula Unified School District,0625530,"3180 Imjin Road, Suite 110, 
Marina, CA  93933",(831) 582-9820,(831) 582-9825,http://lflcs.org,062553010560,36.673435,-121.76393,https://www.greatschools.org/california/marina/11768-Learning-For-Life-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/marina/11768-Learning-For-Life-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/marina/11768-Learning-For-Life-Charter-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/marina/11768-Learning-For-Life-Charter-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Monterey High,3280,Monterey High School,public,9-12,1277,7,3,Monterey,CA,387,Monterey Peninsula Unified School District,0625530,"101 Herrmann Drive, 
Monterey, CA  93940",(831) 392-3801,(831) 649-1154,http://montereyhigh.mpusd.k12.ca.us/,062553003839,36.59656,-121.90221,https://www.greatschools.org/california/monterey/3280-Monterey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/monterey/3280-Monterey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/monterey/3280-Monterey-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/monterey/3280-Monterey-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Seaside High,3283,Seaside High School,public,9-12,1059,4,4,Seaside,CA,387,Monterey Peninsula Unified School District,0625530,"2200 Noche Buena Street, 
Seaside, CA  93955",(831) 392-3530,(831) 899-0212,http://seasidehigh.mpusd.k12.ca.us/,062553003843,36.62176,-121.83793,https://www.greatschools.org/california/seaside/3283-Seaside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/seaside/3283-Seaside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/seaside/3283-Seaside-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/seaside/3283-Seaside-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Pacific Grove High,3299,Pacific Grove High School,public,9-12,609,10,4,Pacific Grove,CA,389,Pacific Grove Unified School District,0629370,"615 Sunset Drive, 
Pacific Grove, CA  93950",(831) 646-6590,(831) 646-6660,http://pghigh.pgusd.org/,062937004530,36.61044,-121.92282,https://www.greatschools.org/california/pacific-grove/3299-Pacific-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pacific-grove/3299-Pacific-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pacific-grove/3299-Pacific-Grove-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pacific-grove/3299-Pacific-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Rancho San Juan High,32653,Rancho San Juan High,public,9-12,,,,Salinas,CA,398,Salinas Union High School District,0633980,"1100 Rogge Road, 
Salinas, CA  93906",(831) 796-7000,,www.salinasuhsd.org/domain/21,,36.72844,-121.62917,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/32653-Rancho-San-Juan-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Alisal High,3326,Alisal High School,public,9-12,2585,4,4,Salinas,CA,398,Salinas Union High School District,0633980,"777 Williams Road, 
Salinas, CA  93905",(831) 796-7600,(831) 796-7605,https://www.salinasuhsd.org/domain/10,063398005332,36.684788,-121.59821,https://www.greatschools.org/california/salinas/3326-Alisal-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3326-Alisal-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3326-Alisal-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/3326-Alisal-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Everett Alvarez High,3327,Everett Alvarez High School,public,9-12,2466,4,4,Salinas,CA,398,Salinas Union High School District,0633980,"1900 Independence Boulevard, 
Salinas, CA  93906",(831) 796-7800,(831) 796-7805,www.salinas.k12.ca.us/sites/eahs/index.htm,063398004694,36.710423,-121.61874,https://www.greatschools.org/california/salinas/3327-Everett-Alvarez-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3327-Everett-Alvarez-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3327-Everett-Alvarez-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/3327-Everett-Alvarez-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
North Salinas High,3331,North Salinas High School,public,9-12,1977,4,3,Salinas,CA,398,Salinas Union High School District,0633980,"55 Kip Drive, 
Salinas, CA  93906",(831) 796-7500,(831) 796-7505,http://nshs.salinasuhsd.org/pages/NorthSalinasHigh,063398005335,36.705856,-121.64452,https://www.greatschools.org/california/salinas/3331-North-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3331-North-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3331-North-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/3331-North-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Salinas High,3332,Salinas High School,public,9-12,2520,6,4,Salinas,CA,398,Salinas Union High School District,0633980,"726 South Main Street, 
Salinas, CA  93901",(831) 796-7400,(831) 796-7405,https://www.salinasuhsd.org/domain/16,063398005336,36.66688,-121.65634,https://www.greatschools.org/california/salinas/3332-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3332-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/salinas/3332-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/salinas/3332-Salinas-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
North Monterey County High,3293,North Monterey County High School,public,9-12,1111,4,4,Castroville,CA,388,North Monterey County Unified School District,0627590,"13990 Castroville Boulevard, 
Castroville, CA  95012",(831) 633-5221,(831) 633-2520,https://nmchs-nmcusd-ca.schoolloop.com/,062759004146,36.781116,-121.7352,https://www.greatschools.org/california/castroville/3293-North-Monterey-County-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castroville/3293-North-Monterey-County-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castroville/3293-North-Monterey-County-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/castroville/3293-North-Monterey-County-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Soledad High,11003,Soledad High School,public,9-12,1429,3,3,Soledad,CA,395,Soledad Unified School District,0637050,"425 Gabilan Drive, 
Soledad, CA  93960",(831) 678-6400,(831) 678-0449,www.soledadusd.org,063705008225,36.43599,-121.327,https://www.greatschools.org/california/soledad/11003-Soledad-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/soledad/11003-Soledad-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/soledad/11003-Soledad-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/soledad/11003-Soledad-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Gonzales High,3245,Gonzales High School,public,9-12,741,3,3,Gonzales,CA,380,Gonzales Unified School District,0600046,"501 Fifth Street, 
Gonzales, CA  93926",(831) 675-2495,(831) 675-8054,www.gonzalesusd.net,060004607183,36.511868,-121.43971,https://www.greatschools.org/california/gonzales/3245-Gonzales-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gonzales/3245-Gonzales-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gonzales/3245-Gonzales-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/gonzales/3245-Gonzales-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Calistoga Junior/Senior High,3507,Calistoga Junior/Senior High School,public,7-12,351,6,4,Calistoga,CA,446,Calistoga Joint Unified School District,0607020,"1608 Lake Street, 
Calistoga, CA  94515",(707) 942-6278,(707) 942-6592,,060702000647,38.584,-122.58126,https://www.greatschools.org/california/calistoga/3507-Calistoga-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/calistoga/3507-Calistoga-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/calistoga/3507-Calistoga-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/calistoga/3507-Calistoga-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
American Canyon High,25455,American Canyon High School,public,9-12,1582,6,3,American Canyon,CA,449,Napa Valley Unified School District,0626640,"3000 Newell Drive, 
American Canyon, CA  94503",(707) 265-2710,,www.nvusd.org,062664012535,38.166264,-122.2406,https://www.greatschools.org/california/american-canyon/25455-American-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/american-canyon/25455-American-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/american-canyon/25455-American-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/american-canyon/25455-American-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Vintage High,3534,Vintage High School,public,9-12,1845,6,4,Napa,CA,449,Napa Valley Unified School District,0626640,"1375 Trower Avenue, 
Napa, CA  94558",(707) 253-3601,(707) 253-3604,www.vhs.nvusd.org,062664004037,38.334038,-122.30566,https://www.greatschools.org/california/napa/3534-Vintage-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/napa/3534-Vintage-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/napa/3534-Vintage-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/napa/3534-Vintage-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Napa High,3521,Napa High School,public,9-12,1884,7,4,Napa,CA,449,Napa Valley Unified School District,0626640,"2475 Jefferson Street, 
Napa, CA  94558",(707) 253-3711,(707) 253-3906,www.nhs.nvusd.org,062664004022,38.30909,-122.29599,https://www.greatschools.org/california/napa/3521-Napa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/napa/3521-Napa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/napa/3521-Napa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/napa/3521-Napa-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Saint Helena High,3542,Saint Helena High School,public,9-12,475,8,4,Saint Helena,CA,451,Saint Helena Unified School District,0637830,"1401 Grayson Avenue, 
Saint Helena, CA  94574",(707) 967-2740,(707) 967-2735,www.sthelenaunified.org,063783006387,38.497208,-122.4633,https://www.greatschools.org/california/saint-helena/3542-Saint-Helena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/saint-helena/3542-Saint-Helena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/saint-helena/3542-Saint-Helena-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/saint-helena/3542-Saint-Helena-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bitney Prep High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC de Cesar Chavez,32121,Epic De Cesar Chavez,charter,9-12,281,,,Tehachapi,CA,1071,Nevada County Office Of Education School District,0691023,"122 East Tehachapi Boulevard, Suite C, 
Tehachapi, CA  93561",(661) 822-4381,,,069102313819,35.1317,-118.44649,https://www.greatschools.org/california/tehachapi/32121-Epic-De-Cesar-Chavez/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tehachapi/32121-Epic-De-Cesar-Chavez/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tehachapi/32121-Epic-De-Cesar-Chavez/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tehachapi/32121-Epic-De-Cesar-Chavez/?utm_source=GSAPI&utm_medium=referral,,,,,,,
John Muir Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Academy of Expeditionary Learning,31971,Sierra Academy Of Expeditionary Learning,charter,9-12,150,4,,Grass Valley,CA,457,Nevada Joint Union High School District,0626880,"340 Buena Vista Street, 
Grass Valley, CA  95945",(530) 268-2200,,www.sierraacademy.net,062688012922,39.212734,-121.06304,https://www.greatschools.org/california/grass-valley/31971-Sierra-Academy-Of-Expeditionary-Learning/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/31971-Sierra-Academy-Of-Expeditionary-Learning/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/31971-Sierra-Academy-Of-Expeditionary-Learning/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/grass-valley/31971-Sierra-Academy-Of-Expeditionary-Learning/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bear River High,3557,Bear River High School,public,9-12,696,7,4,Grass Valley,CA,457,Nevada Joint Union High School District,0626880,"11130 Magnolia Road, 
Grass Valley, CA  95949",(530) 268-3700,(530) 268-8372,www.nuhsd.org/schools/brhs,062688008918,39.06828,-121.01056,https://www.greatschools.org/california/grass-valley/3557-Bear-River-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3557-Bear-River-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3557-Bear-River-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/grass-valley/3557-Bear-River-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Nevada Union High,3559,Nevada Union High School,public,9-12,1653,7,4,Grass Valley,CA,457,Nevada Joint Union High School District,0626880,"11761 Ridge Road, 
Grass Valley, CA  95945",(530) 273-4431,(530) 477-9317,http://njuhsd.com,062688004064,39.24009,-121.05546,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Samueli Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College and Career Preparatory Academy,32128,College And Career Preparatory Academy,charter,9-12,,,,Santa Ana,CA,1088,Orange County Department Of Education School District,0691024,"1669 East Wilshire Avenue, Ste 605, 
Santa Ana, CA  92705",(714) 547-9986,,www.ocde.us,069102413959,33.732426,-117.84433,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Unity Middle College High,32656,Unity Middle College High,charter,9-12,,,,Orange,CA,1088,Orange County Department Of Education School District,0691024,"815 South Esplanade Street, 
Orange, CA  92869",(714) 473-0723,,www.unitymchs.org,069102414191,33.774677,-117.80924,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Ednovate - Legacy College Prep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Workforce Innovation High,32461,Orange County Workforce Innovation High,charter,9-12,,,,Anaheim,CA,1088,Orange County Department Of Education School District,0691024,"505 North Euclid Street, 
Anaheim, CA  92805",(714) 576-2714,,,069102414040,33.837925,-117.94185,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Cypress High,3603,Cypress High School,public,9-12,2749,9,4,Cypress,CA,464,Anaheim Union High School District,0602630,"9801 Valley View Street, 
Cypress, CA  90630",(714) 220-4144,(714) 220-4174,http://cypress.auhsd.us,060263000172,33.819637,-118.02838,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Anaheim High,3600,Anaheim High School,public,9-12,3164,4,4,Anaheim,CA,464,Anaheim Union High School District,0602630,"811 West Lincoln Avenue, 
Anaheim, CA  92805",(714) 999-3717,(714) 772-6537,http://anaheimhs.org/,060263000169,33.833157,-117.92402,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Oxford Academy,3612,Oxford Academy,public,7-12,1208,10,4,Cypress,CA,464,Anaheim Union High School District,0602630,"5172 Orange Avenue, 
Cypress, CA  90630",(714) 220-3055,(714) 527-7128,http://oxford.auhsd.us,060263007580,33.823814,-118.04229,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Katella High,3606,Katella High School,public,9-12,2619,4,4,Anaheim,CA,464,Anaheim Union High School District,0602630,"2200 East Wagner Avenue, 
Anaheim, CA  92806",(714) 999-3621,(714) 535-3991,http://katella.auhsd.us,060263000176,33.82539,-117.88549,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Loara High,3609,Loara High School,public,9-12,2303,4,4,Anaheim,CA,464,Anaheim Union High School District,0602630,"1765 West Cerritos Avenue, 
Anaheim, CA  92804",(714) 999-3677,(714) 999-3703,http://loara.auhsd.us,060263000180,33.810555,-117.94427,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Magnolia High,3610,Magnolia High School,public,9-12,1815,3,3,Anaheim,CA,464,Anaheim Union High School District,0602630,"2450 West Ball Road, 
Anaheim, CA  92804",(714) 220-4221,(714) 220-4233,http://magnolia.auhsd.us,060263000182,33.817635,-117.97178,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Savanna High,3614,Savanna High School,public,9-12,2035,3,4,Anaheim,CA,464,Anaheim Union High School District,0602630,"301 North Gilbert Street, 
Anaheim, CA  92801",(714) 220-4262,(714) 995-2544,http://savanna.auhsd.us,060263000187,33.834423,-117.96767,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Western High,3618,Western High School,public,9-12,2125,4,4,Anaheim,CA,464,Anaheim Union High School District,0602630,"501 South Western Avenue, 
Anaheim, CA  92804",(714) 220-4040,(714) 220-4027,http://western.auhsd.us,060263000192,33.825665,-118.00215,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Brea-Olinda High,3622,Brea-Olinda High School,public,9-12,1872,9,3,Brea,CA,465,Brea-Olinda Unified School District,0605880,"789 North Wildcat Way, 
Brea, CA  92821",(714) 990-7850,(714) 990-7547,,060588000529,33.93322,-117.87179,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
