,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Nevada Union High,3559.0,Nevada Union High School,public,9-12,1653.0,7.0,4.0,Grass Valley,CA,457.0,Nevada Joint Union High School District,626880.0,"11761 Ridge Road, 
Grass Valley, CA  95945",(530) 273-4431,(530) 477-9317,http://njuhsd.com,62688004064.0,39.24009,-121.05546,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/grass-valley/3559-Nevada-Union-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,5.0,,6.0,,20.0,331.0,85.0,100.0,71858.0,8.0,6.0,9.0,68.0,308.0,58.0,115.0,41.0,306.0,29.0,115.0,41.0,27.0,94.0,90.0,35.0,95945.0,Nevada Union High
Samueli Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samueli Academy
College and Career Preparatory Academy,32128.0,College And Career Preparatory Academy,charter,9-12,,,,Santa Ana,CA,1088.0,Orange County Department Of Education School District,691024.0,"1669 East Wilshire Avenue, Ste 605, 
Santa Ana, CA  92705",(714) 547-9986,,www.ocde.us,69102413959.0,33.732426000000004,-117.84433,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/32128-College-And-Career-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,11.0,10.0,,92705.0,College and Career Preparatory Academy
Unity Middle College High,32656.0,Unity Middle College High,charter,9-12,,,,Orange,CA,1088.0,Orange County Department Of Education School District,691024.0,"815 South Esplanade Street, 
Orange, CA  92869",(714) 473-0723,,www.unitymchs.org,69102414191.0,33.774677000000004,-117.80924,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orange/32656-Unity-Middle-College-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92869.0,Unity Middle College High
Ednovate - Legacy College Prep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ednovate - Legacy College Prep.
Orange County Workforce Innovation High,32461.0,Orange County Workforce Innovation High,charter,9-12,,,,Anaheim,CA,1088.0,Orange County Department Of Education School District,691024.0,"505 North Euclid Street, 
Anaheim, CA  92805",(714) 576-2714,,,69102414040.0,33.837925,-117.94185,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/32461-Orange-County-Workforce-Innovation-High/?utm_source=GSAPI&utm_medium=referral,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,21.0,48.0,16.0,38.0,,,,,,,,,,92805.0,Orange County Workforce Innovation High
Cypress High,3603.0,Cypress High School,public,9-12,2749.0,9.0,4.0,Cypress,CA,464.0,Anaheim Union High School District,602630.0,"9801 Valley View Street, 
Cypress, CA  90630",(714) 220-4144,(714) 220-4174,http://cypress.auhsd.us,60263000172.0,33.819637,-118.02838,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/cypress/3603-Cypress-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,9.0,,9.0,,27.0,549.0,94.0,100.0,87437.0,9.0,9.0,9.0,81.0,666.0,77.0,253.0,47.0,668.0,40.0,255.0,64.0,58.0,96.0,96.0,31.0,90630.0,Cypress High
Anaheim High,3600.0,Anaheim High School,public,9-12,3164.0,4.0,4.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"811 West Lincoln Avenue, 
Anaheim, CA  92805",(714) 999-3717,(714) 772-6537,http://anaheimhs.org/,60263000169.0,33.833157,-117.92402,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3600-Anaheim-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,3.0,,3.0,,3.0,,25.0,510.0,97.0,99.0,99121.0,3.0,3.0,5.0,38.0,678.0,37.0,625.0,14.0,671.0,14.0,618.0,29.0,29.0,80.0,80.0,83.0,92805.0,Anaheim High
Oxford Academy,3612.0,Oxford Academy,public,7-12,1208.0,10.0,4.0,Cypress,CA,464.0,Anaheim Union High School District,602630.0,"5172 Orange Avenue, 
Cypress, CA  90630",(714) 220-3055,(714) 527-7128,http://oxford.auhsd.us,60263007580.0,33.823814,-118.04229,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/cypress/3612-Oxford-Academy/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,10.0,,28.0,346.0,98.0,100.0,93758.0,10.0,10.0,,98.0,199.0,99.0,255.0,86.0,199.0,95.0,255.0,97.0,98.0,98.0,98.0,35.0,90630.0,Oxford Academy
Katella High,3606.0,Katella High School,public,9-12,2619.0,4.0,4.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"2200 East Wagner Avenue, 
Anaheim, CA  92806",(714) 999-3621,(714) 535-3991,http://katella.auhsd.us,60263000176.0,33.82539000000001,-117.88549,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3606-Katella-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,3.0,,3.0,,3.0,,26.0,523.0,97.0,100.0,91688.0,3.0,3.0,4.0,50.0,642.0,49.0,533.0,10.0,634.0,9.0,526.0,36.0,35.0,96.0,96.0,80.0,92806.0,Katella High
Loara High,3609.0,Loara High School,public,9-12,2303.0,4.0,4.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"1765 West Cerritos Avenue, 
Anaheim, CA  92804",(714) 999-3677,(714) 999-3703,http://loara.auhsd.us,60263000180.0,33.810555,-117.94427,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3609-Loara-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,3.0,,2.0,,3.0,,26.0,576.0,97.0,100.0,101614.0,3.0,3.0,6.0,44.0,489.0,41.0,409.0,17.0,488.0,15.0,409.0,42.0,40.0,88.0,88.0,77.0,92804.0,Loara High
Magnolia High,3610.0,Magnolia High School,public,9-12,1815.0,3.0,3.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"2450 West Ball Road, 
Anaheim, CA  92804",(714) 220-4221,(714) 220-4233,http://magnolia.auhsd.us,60263000182.0,33.817635,-117.97178,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3610-Magnolia-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,24.0,454.0,94.0,100.0,94277.0,3.0,3.0,3.0,37.0,391.0,36.0,340.0,14.0,387.0,14.0,336.0,43.0,44.0,84.0,84.0,78.0,92804.0,Magnolia High
Savanna High,3614.0,Savanna High School,public,9-12,2035.0,3.0,4.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"301 North Gilbert Street, 
Anaheim, CA  92801",(714) 220-4262,(714) 995-2544,http://savanna.auhsd.us,60263000187.0,33.834423,-117.96767,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3614-Savanna-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,26.0,339.0,95.0,100.0,92572.0,3.0,3.0,4.0,42.0,479.0,41.0,411.0,16.0,483.0,15.0,415.0,42.0,42.0,91.0,90.0,77.0,92801.0,Savanna High
Western High,3618.0,Western High School,public,9-12,2125.0,4.0,4.0,Anaheim,CA,464.0,Anaheim Union High School District,602630.0,"501 South Western Avenue, 
Anaheim, CA  92804",(714) 220-4040,(714) 220-4027,http://western.auhsd.us,60263000192.0,33.825665,-118.00215,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3618-Western-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,3.0,,2.0,,3.0,,26.0,406.0,97.0,100.0,98701.0,3.0,3.0,5.0,41.0,452.0,38.0,378.0,14.0,453.0,12.0,379.0,38.0,37.0,92.0,91.0,72.0,92804.0,Western High
Brea-Olinda High,3622.0,Brea-Olinda High School,public,9-12,1872.0,9.0,3.0,Brea,CA,465.0,Brea-Olinda Unified School District,605880.0,"789 North Wildcat Way, 
Brea, CA  92821",(714) 990-7850,(714) 990-7547,,60588000529.0,33.93322,-117.87179,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/brea/3622-Brea-Olinda-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,4.0,,5.0,,30.0,312.0,90.0,100.0,84358.0,8.0,5.0,8.0,60.0,453.0,44.0,135.0,50.0,453.0,37.0,135.0,59.0,37.0,98.0,96.0,22.0,92821.0,Brea-Olinda High
San Juan Hills High,17561.0,San Juan Hills High School,public,9-12,2515.0,9.0,4.0,San Juan Capistrano,CA,467.0,Capistrano Unified School District,607440.0,"29211 Stallion Ridge, 
San Juan Capistrano, CA  92675",(949) 234-5900,(949) 488-9727,www.sjhhs.org,60744011854.0,33.5018,-117.6227,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,7.0,,31.0,2177.0,74.0,100.0,90505.0,9.0,7.0,10.0,83.0,562.0,68.0,165.0,46.0,561.0,25.0,165.0,61.0,28.0,98.0,96.0,25.0,92675.0,San Juan Hills High
Capistrano Valley High,3644.0,Capistrano Valley High School,public,9-12,2241.0,9.0,4.0,Mission Viejo,CA,467.0,Capistrano Unified School District,607440.0,"26301 Via Escolar, 
Mission Viejo, CA  92692",(949) 364-6100,(949) 347-1298,www.cvhs.com,60744000685.0,33.54255,-117.67324,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,3.0,,3.0,,29.0,1130.0,79.0,99.0,88779.0,8.0,3.0,9.0,67.0,500.0,40.0,148.0,42.0,500.0,18.0,149.0,62.0,34.0,97.0,92.0,23.0,92692.0,Capistrano Valley High
Aliso Niguel High,3635.0,Aliso Niguel High School,public,9-12,3068.0,10.0,4.0,Aliso Viejo,CA,467.0,Capistrano Unified School District,607440.0,"28000 Wolverine Way, 
Aliso Viejo, CA  92656",(949) 831-5590,(949) 448-9854,http://anhs-capousd-ca.schoolloop.com/,60744002328.0,33.561375,-117.72093999999998,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,7.0,,8.0,,32.0,2989.0,85.0,100.0,96771.0,10.0,8.0,10.0,80.0,722.0,66.0,144.0,60.0,717.0,39.0,145.0,60.0,33.0,96.0,93.0,12.0,92656.0,Aliso Niguel High
Tesoro High,11987.0,Tesoro High School,public,9-12,2451.0,9.0,4.0,Las Flores,CA,467.0,Capistrano Unified School District,607440.0,"1 Tesoro Creek Road, 
Las Flores, CA  92688",(949) 234-5310,(949) 766-3370,www.tesorohighschool.com,60744008750.0,33.585857,-117.61329,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,5.0,,34.0,2327.0,73.0,100.0,98689.0,9.0,5.0,9.0,77.0,622.0,58.0,59.0,51.0,623.0,20.0,60.0,63.0,41.0,99.0,99.0,7.0,92688.0,Tesoro High
San Clemente High,3666.0,San Clemente High School,public,9-12,3024.0,9.0,4.0,San Clemente,CA,467.0,Capistrano Unified School District,607440.0,"700 Avenido Pico, 
San Clemente, CA  92673",(949) 492-4165,(949) 361-5175,www.sctritons.com/,60744000701.0,33.439820000000005,-117.61752,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,4.0,,5.0,,31.0,2962.0,83.0,94.0,91746.0,9.0,5.0,10.0,74.0,748.0,52.0,193.0,50.0,739.0,27.0,190.0,59.0,33.0,98.0,94.0,20.0,92673.0,San Clemente High
Dana Hills High,3649.0,Dana Hills High School,public,9-12,2679.0,9.0,4.0,Dana Point,CA,467.0,Capistrano Unified School District,607440.0,"33333 Golden Lantern, 
Dana Point, CA  92629",(949) 496-6666,(949) 489-8317,www.dhhs.net,60744000689.0,33.478615000000005,-117.6978,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,4.0,,5.0,,30.0,1339.0,89.0,100.0,88030.0,8.0,5.0,9.0,66.0,574.0,50.0,148.0,47.0,576.0,28.0,148.0,57.0,34.0,96.0,93.0,22.0,92629.0,Dana Hills High
Buena Park High,3695.0,Buena Park High School,public,9-12,1913.0,5.0,4.0,Buena Park,CA,471.0,Fullerton Joint Union High School District,614760.0,"8833 Academy Drive, 
Buena Park, CA  90621",(714) 992-8601,(714) 992-8619,http://www.cde.ca.gov/re/sd/details.asp?cds=30665143030855&Public=Y,61476001809.0,33.860928,-117.97906,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,4.0,,3.0,,4.0,,27.0,477.0,86.0,100.0,183494.0,4.0,4.0,6.0,47.0,477.0,45.0,393.0,21.0,484.0,19.0,399.0,40.0,39.0,97.0,96.0,80.0,90621.0,Buena Park High
Fullerton Union High,3696.0,Fullerton Union High School,public,9-12,2110.0,7.0,4.0,Fullerton,CA,471.0,Fullerton Joint Union High School District,614760.0,"201 East Chapman Avenue, 
Fullerton, CA  92832",(714) 626-3801,(714) 626-3839,http://www.fullertonhigh.org ,61476001810.0,33.874016,-117.92205,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,3.0,,4.0,,28.0,528.0,89.0,100.0,184516.0,6.0,4.0,9.0,55.0,483.0,41.0,277.0,33.0,482.0,23.0,277.0,48.0,42.0,96.0,96.0,57.0,92832.0,Fullerton Union High
La Habra High,3697.0,La Habra High School,public,9-12,2212.0,7.0,3.0,La Habra,CA,471.0,Fullerton Joint Union High School District,614760.0,"801 West Highlander Avenue, 
La Habra, CA  90631",(562) 266-5200,(562) 691-8280,http://www.lahabrahighschool.net ,61476001811.0,33.93548,-117.95658,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,4.0,,4.0,,28.0,553.0,95.0,99.0,176869.0,6.0,4.0,8.0,57.0,529.0,45.0,271.0,33.0,527.0,24.0,270.0,53.0,44.0,97.0,96.0,47.0,90631.0,La Habra High
Sonora High,7409.0,Sonora High School,public,9-12,940.0,8.0,4.0,Sonora,CA,943.0,Sonora Union High School District,637260.0,"430 North Washington Street, 
Sonora, CA  95370",(209) 532-5511,(209) 533-1158,http://sonorahs.k12.ca.us/shs/,63726006306.0,37.99251,-120.38368,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,8.0,,7.0,,21.0,336.0,91.0,89.0,65852.0,8.0,7.0,9.0,75.0,224.0,72.0,90.0,37.0,223.0,25.0,89.0,29.0,24.0,99.0,100.0,38.0,95370.0,Sonora High
Sunny Hills High,3700.0,Sunny Hills High School,public,9-12,2307.0,9.0,4.0,Fullerton,CA,471.0,Fullerton Joint Union High School District,614760.0,"1801 Warburton Way, 
Fullerton, CA  92833",(714) 626-4201,(714) 738-3728,http://www.sunnyhills.net/,61476001815.0,33.8828,-117.95394,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,7.0,,30.0,578.0,89.0,100.0,187623.0,9.0,7.0,10.0,73.0,559.0,57.0,207.0,54.0,560.0,42.0,207.0,69.0,61.0,99.0,98.0,27.0,92833.0,Sunny Hills High
Troy High,3701.0,Troy High School,public,9-12,2764.0,10.0,4.0,Fullerton,CA,471.0,Fullerton Joint Union High School District,614760.0,"2200 East Dorothy Lane, 
Fullerton, CA  92831",(714) 626-4401,(714) 626-4492,http://www.troyhigh.org,61476001816.0,33.881435,-117.89005,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,9.0,,9.0,,28.0,550.0,93.0,100.0,186260.0,10.0,9.0,10.0,86.0,612.0,75.0,174.0,77.0,610.0,61.0,172.0,82.0,71.0,97.0,91.0,21.0,92831.0,Troy High
Bolsa Grande High,3736.0,Bolsa Grande High School,public,9-12,1995.0,8.0,4.0,Garden Grove,CA,474.0,Garden Grove Unified School District,614880.0,"9401 Westminster Avenue, 
Garden Grove, CA  92844",(714) 663-6424,(714) 663-6029,www.ggusd.us/bghs,61488001827.0,33.75954,-117.96323,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,9.0,,9.0,,8.0,,26.0,499.0,88.0,100.0,109434.0,9.0,8.0,9.0,69.0,464.0,67.0,332.0,52.0,466.0,52.0,333.0,62.0,60.0,90.0,91.0,69.0,92844.0,Bolsa Grande High
Garden Grove High,3751.0,Garden Grove High School,public,9-12,2454.0,8.0,4.0,Garden Grove,CA,474.0,Garden Grove Unified School District,614880.0,"11271 Stanford Avenue, 
Garden Grove, CA  92840",(714) 663-6115,(714) 663-6030,www.ggusd.us/gghs,61488001844.0,33.777897,-117.93563,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,7.0,,8.0,,25.0,491.0,86.0,100.0,108095.0,8.0,8.0,9.0,70.0,531.0,66.0,365.0,46.0,541.0,43.0,369.0,50.0,46.0,96.0,96.0,60.0,92840.0,Garden Grove High
La Quinta High,4299.0,La Quinta High School,public,9-12,2740.0,7.0,4.0,La Quinta,CA,520.0,Desert Sands Unified School District,611110.0,"79-255 Blackhawk Way, 
La Quinta, CA  92253",(760) 772-4150,(760) 772-4166,www.dsusd.us,61111003582.0,33.713505,-116.28052,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,6.0,,6.0,,28.0,544.0,81.0,98.0,90498.0,6.0,6.0,7.0,63.0,604.0,60.0,245.0,27.0,603.0,21.0,245.0,54.0,48.0,96.0,95.0,50.0,92253.0,La Quinta High
